Date,Open,High,Low,Close,Adj Close,Volume
2017/4/3,35.927502,36.029999,35.762501,35.924999,34.17152,79942800
2017/4/4,35.8125,36.2225,35.7925,36.192501,34.425976,79565600
2017/4/5,36.055,36.365002,35.952499,36.005001,34.247623,110871600
2017/4/6,36.072498,36.130001,35.862499,35.915001,34.162018,84596000
2017/4/7,35.932499,36.044998,35.817501,35.834999,34.085918,66688800
2017/4/10,35.900002,35.970001,35.724998,35.7925,34.045498,75733600
2017/4/11,35.735001,35.837502,35.014999,35.407501,33.679287,121517600
2017/4/12,35.400002,35.537498,35.252499,35.450001,33.719711,81400000
2017/4/13,35.477501,35.595001,35.262501,35.262501,33.541363,71291600
2017/4/17,35.369999,35.470001,35.217499,35.4575,33.726852,66328400
2017/4/18,35.352501,35.509998,35.2775,35.299999,33.577038,58790000
2017/4/19,35.470001,35.5,35.112499,35.169998,33.453377,69313600
2017/4/20,35.305,35.73,35.290001,35.610001,33.871906,93278400
2017/4/21,35.610001,35.669998,35.462502,35.567501,33.831474,69283600
2017/4/24,35.875,35.987499,35.794998,35.91,34.157269,68537200
2017/4/25,35.977501,36.224998,35.967499,36.1325,34.3689,75486000
2017/4/26,36.1175,36.150002,35.845001,35.919998,34.166775,80164800
2017/4/27,35.98,36.040001,35.827499,35.947498,34.192936,56985200
2017/4/28,36.022499,36.075001,35.817501,35.912498,34.159637,83441600
2017/5/1,36.275002,36.799999,36.240002,36.645,34.856388,134411600
2017/5/2,36.884998,37.022499,36.709999,36.877499,35.077541,181408800
2017/5/3,36.397499,36.872501,36.067501,36.764999,34.970528,182788000
2017/5/4,36.630001,36.785,36.452499,36.6325,34.844486,93487600
2017/5/5,36.689999,37.244999,36.689999,37.240002,35.422344,109310800
2017/5/8,37.2575,38.424999,37.2575,38.252499,36.385422,195009600
2017/5/9,38.467499,38.720001,38.362499,38.497501,36.618469,156521600
2017/5/10,38.407501,38.485001,38.0275,38.314999,36.444874,103222800
2017/5/11,38.112499,38.517502,38.077499,38.487499,36.760059,109020400
2017/5/12,38.674999,39.105,38.6675,39.025002,37.273441,130108000
2017/5/15,39.002499,39.162498,38.762501,38.924999,37.177921,104038800
2017/5/16,38.985001,39.014999,38.68,38.8675,37.123013,80194000
2017/5/17,38.400002,38.642502,37.427502,37.5625,35.876579,203070800
2017/5/18,37.817501,38.334999,37.782501,38.134998,36.423378,134272800
2017/5/19,38.345001,38.494999,38.157501,38.264999,36.547546,107843200
2017/5/22,38.5,38.645,38.227501,38.497501,36.769615,91865600
2017/5/23,38.724998,38.724998,38.327499,38.450001,36.724239,79675600
2017/5/24,38.459999,38.5425,38.1675,38.334999,36.614414,76712000
2017/5/25,38.432499,38.587502,38.2575,38.467499,36.740955,76942400
2017/5/26,38.5,38.560001,38.327499,38.4025,36.678879,87710400
2017/5/30,38.355,38.607498,38.3325,38.4175,36.693203,80507600
2017/5/31,38.4925,38.5425,38.095001,38.189999,36.475906,97804800
2017/6/1,38.2925,38.3325,38.055,38.294998,36.576199,65616400
2017/6/2,38.395,38.862499,38.2225,38.862499,37.118225,111082800
2017/6/5,38.584999,38.612499,38.365002,38.482498,36.755287,101326800
2017/6/6,38.474998,38.952499,38.445,38.612499,36.879452,106499600
2017/6/7,38.755001,38.994999,38.619999,38.842499,37.099125,84278400
2017/6/8,38.8125,38.884998,38.599998,38.747501,37.008389,85003200
2017/6/9,38.797501,38.797501,36.505001,37.244999,35.573322,259530800
2017/6/12,36.435001,36.522499,35.627499,36.355,34.723278,289229200
2017/6/13,36.790001,36.862499,36.287498,36.647499,35.002644,136661600
2017/6/14,36.875,36.875,35.959999,36.290001,34.661194,126124800
2017/6/15,35.830002,36.119999,35.552502,36.072498,34.453453,128661600
2017/6/16,35.945,36.125,35.549999,35.567501,33.971119,201444400
2017/6/19,35.915001,36.685001,35.915001,36.584999,34.942951,130165600
2017/6/20,36.717499,36.717499,36.235001,36.252499,34.625374,99600400
2017/6/21,36.380001,36.517502,36.1525,36.467499,34.830727,85063200
2017/6/22,36.442501,36.674999,36.279999,36.407501,34.773426,76425200
2017/6/23,36.282501,36.790001,36.2775,36.57,34.928623,141757600
2017/6/26,36.7925,37.07,36.345001,36.455002,34.818787,102769600
2017/6/27,36.252499,36.540001,35.904999,35.932499,34.319733,99047600
2017/6/28,36.122501,36.5275,35.790001,36.4575,34.821175,88329600
2017/6/29,36.177502,36.282501,35.57,35.919998,34.3078,125997600
2017/6/30,36.112499,36.240002,35.945,36.005001,34.388985,92096400
2017/7/3,36.220001,36.325001,35.775002,35.875,34.26482,57111200
2017/7/5,35.922501,36.197498,35.68,36.022499,34.405693,86278400
2017/7/6,35.755001,35.875,35.602501,35.682499,34.080963,96515200
2017/7/7,35.724998,36.1875,35.724998,36.044998,34.427189,76806800
2017/7/10,36.0275,36.487499,35.842499,36.264999,34.637314,84362400
2017/7/11,36.182499,36.462502,36.095001,36.3825,34.749542,79127200
2017/7/12,36.467499,36.544998,36.205002,36.435001,34.799683,99538000
2017/7/13,36.375,37.122501,36.360001,36.942501,35.284409,100797600
2017/7/14,36.9925,37.3325,36.8325,37.259998,35.587654,80528400
2017/7/17,37.205002,37.724998,37.142502,37.389999,35.711819,95174000
2017/7/18,37.299999,37.532501,37.1675,37.52,35.835987,71475200
2017/7/19,37.619999,37.855,37.487499,37.755001,36.060448,83692000
2017/7/20,37.875,37.935001,37.547501,37.584999,35.898067,68974800
2017/7/21,37.497501,37.610001,37.220001,37.567501,35.881351,105010400
2017/7/24,37.645,38.110001,37.474998,38.022499,36.315933,85972800
2017/7/25,37.950001,38.459999,37.950001,38.185001,36.471138,75415600
2017/7/26,38.337502,38.482498,38.264999,38.365002,36.643066,63124000
2017/7/27,38.4375,38.497501,36.825001,37.639999,35.950596,129905200
2017/7/28,37.4725,37.557499,37.297501,37.375,35.697495,68854800
2017/7/31,37.474998,37.5825,37.032501,37.182499,35.51363,79383600
2017/8/1,37.275002,37.555,37.102501,37.512501,35.828819,141474400
2017/8/2,39.82,39.9375,39.040001,39.285,37.52177,279747200
2017/8/3,39.262501,39.302502,38.755001,38.892502,37.146885,108389200
2017/8/4,39.017502,39.349998,38.922501,39.0975,37.342686,82239600
2017/8/7,39.264999,39.73,39.1675,39.702499,37.920532,87481200
2017/8/8,39.650002,40.4575,39.567501,40.02,38.223778,144823600
2017/8/9,39.814999,40.317501,39.7775,40.264999,38.457779,104526000
2017/8/10,39.974998,40,38.657501,38.830002,37.232838,163217200
2017/8/11,39.150002,39.642502,39.017502,39.369999,37.750618,105028400
2017/8/14,39.830002,40.052502,39.6875,39.962502,38.318748,88490800
2017/8/15,40.165001,40.549999,40.035,40.400002,38.738255,117862000
2017/8/16,40.485001,40.627499,40.037498,40.237499,38.582436,110686400
2017/8/17,40.130001,40.177502,39.459999,39.465,37.841713,111762400
2017/8/18,39.465,39.875,39.18,39.375,37.755413,109712400
2017/8/21,39.375,39.4725,38.7775,39.302502,37.685898,105474000
2017/8/22,39.557499,40,39.505001,39.945,38.301964,86418400
2017/8/23,39.767502,40.1175,39.720001,39.994999,38.349915,77596400
2017/8/24,40.107498,40.185001,39.637501,39.817501,38.17971,79275600
2017/8/25,39.912498,40.139999,39.817501,39.965,38.321136,101920400
2017/8/28,40.035,40.5,39.982498,40.3675,38.7071,103864000
2017/8/29,40.025002,40.779999,40,40.727501,39.052284,118067600
2017/8/30,40.950001,40.9725,40.6525,40.837502,39.157761,109078400
2017/8/31,40.91,41.130001,40.869999,41,39.313568,107140400
2017/9/1,41.200001,41.235001,40.907501,41.012501,39.325558,66364400
2017/9/5,40.9375,41.0625,40.139999,40.52,38.853317,117874000
2017/9/6,40.677502,40.747501,40.130001,40.477501,38.812557,86606800
2017/9/7,40.522499,40.560001,40.09,40.314999,38.656754,87714000
2017/9/8,40.215,40.287498,39.6325,39.657501,38.026302,114446000
2017/9/11,40.125,40.512501,39.9725,40.375,38.714279,126323200
2017/9/12,40.6525,40.990002,39.692501,40.215,38.560867,286856000
2017/9/13,39.967499,39.990002,39.477501,39.912498,38.270802,179629600
2017/9/14,39.747501,39.849998,39.522499,39.57,37.94239,95042800
2017/9/15,39.6175,40.2425,39.5,39.970001,38.325935,196458400
2017/9/18,40.0275,40.125,39.5,39.6675,38.035885,113077600
2017/9/19,39.877499,39.942501,39.610001,39.682499,38.050262,83242400
2017/9/20,39.474998,39.564999,38.4575,39.017502,37.412628,211805600
2017/9/21,38.950001,38.950001,38.1875,38.3475,36.770168,150046800
2017/9/22,37.884998,38.067501,37.639999,37.9725,36.410603,186581600
2017/9/25,37.497501,37.9575,37.290001,37.637501,36.089378,177549200
2017/9/26,37.945,38.48,37.922501,38.285,36.710247,146640000
2017/9/27,38.450001,38.68,38.384998,38.557499,36.971531,102016800
2017/9/28,38.4725,38.57,38.174999,38.32,36.743805,88022000
2017/9/29,38.302502,38.532501,38,38.529999,36.945168,105199200
2017/10/2,38.564999,38.612499,38.18,38.452499,36.870865,74795200
2017/10/3,38.502499,38.772499,38.477501,38.619999,37.031464,64921200
2017/10/4,38.407501,38.465,38.115002,38.369999,36.791752,80655200
2017/10/5,38.544998,38.860001,38.512501,38.8475,37.249611,85135200
2017/10/6,38.7425,38.872501,38.639999,38.825001,37.228035,69630400
2017/10/9,38.952499,39.182499,38.872501,38.959999,37.357483,65051600
2017/10/10,39.014999,39.5,38.775002,38.974998,37.371864,62468000
2017/10/11,38.9925,39.244999,38.9375,39.137501,37.527683,67622400
2017/10/12,39.087502,39.342499,38.932499,39,37.39584,64500400
