date, value
2017/4/3,2.19
2017/4/4,2.15
2017/4/5,2.17
2017/4/6,2.19
2017/4/7,2.18
2017/4/10,2.17
2017/4/11,2.12
2017/4/12,2.11
2017/4/13,2.1
2017/4/17,2.07
2017/4/18,2.05
2017/4/19,2.04
2017/4/20,1.88
2017/4/21,1.89
2017/4/24,1.93
2017/4/25,1.97
2017/4/26,1.97
2017/4/27,2.01
2017/4/28,2.03
2017/5/1,2.04
2017/5/2,1.99
2017/5/3,1.98
2017/5/4,2
2017/5/5,1.97
2017/5/8,1.97
2017/5/9,1.98
2017/5/10,1.92
2017/5/11,1.94
2017/5/12,1.93
2017/5/15,1.9
2017/5/16,1.9
2017/5/17,1.86
2017/5/18,1.88
2017/5/19,1.89
2017/5/22,1.89
2017/5/23,1.89
2017/5/24,1.89
2017/5/25,1.9
2017/5/26,1.89
2017/5/30,1.89
2017/5/31,1.9
2017/6/1,1.89
2017/6/2,1.86
2017/6/5,1.86
2017/6/6,1.83
2017/6/7,1.87
2017/6/8,1.87
2017/6/9,1.88
2017/6/12,1.83
2017/6/13,1.83
2017/6/14,1.83
2017/6/15,1.78
2017/6/16,1.78
2017/6/19,1.78
2017/6/20,1.78
2017/6/21,1.78
2017/6/22,1.81
2017/6/23,1.81
2017/6/26,1.81
2017/6/27,1.8
2017/6/28,1.81
2017/6/29,1.82
2017/6/30,1.83
2017/7/3,1.84
2017/7/5,1.85
2017/7/6,1.86
2017/7/7,1.83
2017/7/10,1.84
2017/7/11,1.89
2017/7/12,1.89
2017/7/13,1.9
2017/7/14,1.9
2017/7/17,1.9
2017/7/18,1.9
2017/7/19,1.87
2017/7/20,1.92
2017/7/21,1.9
2017/7/24,1.94
2017/7/25,1.95
2017/7/26,1.94
2017/7/27,1.98
2017/7/28,1.98
2017/7/31,1.97
2017/8/1,1.96
2017/8/2,1.95
2017/8/3,1.94
2017/8/4,1.95
2017/8/7,1.95
2017/8/8,1.97
2017/8/9,1.94
2017/8/10,1.92
2017/8/11,1.94
2017/8/14,1.95
2017/8/15,1.93
2017/8/16,1.94
2017/8/17,1.93
2017/8/18,1.91
2017/8/21,1.91
2017/8/22,1.93
2017/8/23,1.92
2017/8/24,1.9
2017/8/25,1.93
2017/8/28,1.94
2017/8/29,1.94
2017/8/30,1.95
2017/8/31,1.94
2017/9/1,1.95
2017/9/5,1.96
2017/9/6,1.96
2017/9/7,1.97
2017/9/8,1.99
2017/9/11,2.03
2017/9/12,2.01
2017/9/13,2.02
2017/9/14,2
2017/9/15,1.98
2017/9/18,2
2017/9/19,2
2017/9/20,1.99
2017/9/21,1.96
2017/9/22,1.97
2017/9/25,1.96
2017/9/26,1.96
2017/9/27,2
2017/9/28,2.01
2017/9/29,2
2017/10/2,1.93
2017/10/3,2
2017/10/4,1.97
2017/10/5,1.98
2017/10/6,1.96
2017/10/10,2.01
2017/10/11,2.03
2017/10/12,1.99
2017/10/13,1.99
2017/10/16,2.02
2017/10/17,1.95
2017/10/18,1.99
2017/10/19,2.02
2017/10/20,1.98
2017/10/23,2.03
2017/10/24,2.01
2017/10/25,2.02
2017/10/26,2.02
2017/10/27,2
2017/10/30,1.97
2017/10/31,1.97
2017/11/1,2.05
2017/11/2,1.95
2017/11/3,1.98
2017/11/6,1.95
2017/11/7,1.96
2017/11/8,1.97
2017/11/9,1.94
2017/11/10,1.98
2017/11/13,1.97
2017/11/14,1.95
